Item,Cost,Quantity,Link
100nF Capacitors,0.9,3,https://www.jaycar.com.au/100nf-100vdc-polyester-capacitor/p/RG5125
Rotary Encoder,9.95,1,https://www.jaycar.com.au/rotary-encoder-switch-with-pushbutton/p/SR1230
10k Resistors,0.85,1,https://www.jaycar.com.au/10k-ohm-0-5-watt-metal-film-resistors-pack-of-8/p/RR0596
Momentary Switches,6.95,6,https://www.jaycar.com.au/metal-momentary-spst/p/SP0755
Aluminium Case,17.95,1,https://www.jaycar.com.au/sealed-diecast-aluminium-enclosure-115-x-65-x-30mm/p/HB5036
Rubber Feet,2.15,1,https://core-electronics.com.au/little-rubber-bumper-feet-pack-of-4.html
Microcontroller,11.2,1,https://core-electronics.com.au/seeed-studio-xiao-esp32c3-tiny-mcu-board-with-wi-fi-and-ble-battery-charge-supported-power-efficiency-and-rich-interface.html
3D Printed Insert,0,1,
Shipping,24,1,
TOTAL,110.5,AUD,
,72.28,USD,
